id,name,phone,address,lat,lng,category,status,source
"xe247_1776744983483_0","Suzuki","","",21.0050433,105.8698406,"repair","pending","osm"
"xe247_1776744983484_1","Chưa có tên","","38, Phố Cao Bá Quát, Phường Ba Đình, Hà Nội",21.0305309,105.8374034,"repair","pending","osm"
"xe247_1776744983484_2","KIA Bắc Ninh","","9, Đường Lê Thái Tổ, Thành phố Bắc Ninh, Bắc Ninh",21.1694394,106.0585473,"repair","pending","osm"
"xe247_1776744983484_3","Chevrolet Bắc Ninh","","9, Đường Lê Thái Tổ, Thành phố Bắc Ninh, Bắc Ninh",21.1699872,106.0590835,"repair","pending","osm"
"xe247_1776744983484_4","Toms Bike Place","","Hàng Muối",21.034323,105.8546393,"repair","pending","osm"
"xe247_1776744983484_5","Gara Ô Tô LT","+841645905578","Thị Trấn Trạm Trôi",21.0778674,105.6926114,"repair","pending","osm"
"xe247_1776744983484_6","Đại Lý Honda Motorrad","","",21.0187188,105.8412901,"repair","pending","osm"
"xe247_1776744983484_7","Toyota Hoàn Kiếm","","05, Lê Thánh Tông",21.0224373,105.8577363,"repair","pending","osm"
"xe247_1776744983484_8","Trung's Shop","","",21.0556362,105.8089658,"repair","pending","osm"
"xe247_1776744983484_9","Bus to cat ba","","",21.0334266,105.8501464,"repair","pending","osm"
"xe247_1776744983484_10","Chưa có tên","","03, Đường Đê La Thành",21.0151861,105.8338088,"repair","pending","osm"
"xe247_1776744983484_11","Gara Hảo Chờ","+84989873204","137, Đường Văn Tiến Dũng, Huyện Yên Phong, Bắc Ninh",21.1987009,105.9561612,"repair","pending","osm"
"xe247_1776744983484_12","Small garage","","",21.0540398,105.8648203,"repair","pending","osm"
"xe247_1776744983484_13","Chưa có tên","","",21.0291986,105.8851546,"repair","pending","osm"
"xe247_1776744983484_14","Chìa khóa ô tô bắc ninh","+84913259779","143, Đường Lê Quang Đạo, Thành phố Từ Sơn, Bắc Ninh",21.1194231,105.9677971,"repair","pending","osm"
"xe247_1776744983484_15","Trung Tâm HTC Auto","","281, Khuất Duy Tiến",21.0018225,105.7945338,"repair","pending","osm"
"xe247_1776744983484_16","Hùng phát motor","+84967036116","96, Phố Quán Thánh, Phường Ba Đình, Hà Nội",21.04212,105.8438784,"repair","pending","osm"
"xe247_1776744983484_17","Thành Công Motor","","26, Phố Đông Tác",21.0060073,105.8329484,"repair","pending","osm"
"xe247_1776744983484_18","ss","","",21.0521932,105.8102013,"repair","pending","osm"
"xe247_1776744983484_19","Chưa có tên","","",21.089922,105.7900232,"repair","pending","osm"
"xe247_1776744983484_20","Chưa có tên","","",21.0449995,105.8423546,"repair","pending","osm"
"xe247_1776744983484_21","motorbike repair","","D96",21.0624735,105.910843,"repair","pending","osm"
"xe247_1776744983484_22","Chưa có tên","","",21.0670012,105.9063459,"repair","pending","osm"
"xe247_1776744983484_23","Chưa có tên","","",21.0518605,105.7893737,"repair","pending","osm"
"xe247_1776744983484_24","Đại Lý Xe Hơi Kia Morning","","",21.0052143,105.869615,"repair","pending","osm"
"xe247_1776744983484_25","Chưa có tên","","",21.030198,105.8476835,"repair","pending","osm"
"xe247_1776744983484_26","Rolls-Royce","","",21.0241935,105.848663,"repair","pending","osm"
"xe247_1776744983484_27","Chưa có tên","","",21.1029332,105.8737131,"repair","pending","osm"
"xe247_1776744983484_28","Thaco auto; Peugeot","","",21.0488972,105.8821039,"repair","pending","osm"
"xe247_1776744983484_29","Car Center","","",21.0399975,105.8659793,"repair","pending","osm"
"xe247_1776744983484_30","Chưa có tên","","",21.0501258,105.8837081,"repair","pending","osm"
"xe247_1776744983484_31","wash your bike","","",21.0368556,105.8529942,"repair","pending","osm"
"xe247_1776744983484_32","Chưa có tên","","",21.0354886,105.8535693,"repair","pending","osm"
"xe247_1776744983484_33","LEDtech Workshop","","1, Phố Lê Văn Thiêm, Hà Nội",20.9984694,105.805231,"repair","pending","osm"
"xe247_1776744983484_34","Toyota Thanh Xuân","","",21.0020014,105.8229532,"repair","pending","osm"
"xe247_1776744983484_35","Sửa Xe Quỳnh Nam","","",20.9486504,105.7075431,"repair","pending","osm"
"xe247_1776744983484_36","Quán sửa xe","","",21.0714166,105.7731796,"repair","pending","osm"
"xe247_1776744983484_37","Chưa có tên","","",21.0713751,105.7724669,"repair","pending","osm"
"xe247_1776744983484_38","nhom6,T01-7, sửa xe Thế Hiệp","","24, Cầu Vồng",21.0776011,105.7749553,"repair","pending","osm"
"xe247_1776744983484_39","nhom6,T01-21, sửa xe Huỳnh Quang","+84332762155","68, Cầu Vồng, Bắc Từ Liêm, Phường Đức Thắng",21.0767393,105.7730596,"repair","pending","osm"
"xe247_1776744983484_40","Tiệm Sửa Xe Máy Duy Tân","","255, Đường Hoàng Tăng Bí",21.0836827,105.7779403,"repair","pending","osm"
"xe247_1776744983484_41","Sửa chữa xe máy Thanh Xuân","","",21.0828871,105.7784241,"repair","pending","osm"
"xe247_1776744983484_42","Chưa có tên","","Đường Cổ Nhuế",21.0711739,105.7770568,"repair","pending","osm"
"xe247_1776744983484_43","Chưa có tên","","Đường Cổ Nhuế",21.0712296,105.7770607,"repair","pending","osm"
"xe247_1776744983484_44","Chưa có tên","","Đường Cổ Nhuế",21.0701279,105.7776015,"repair","pending","osm"
"xe247_1776744983484_45","Tiệm sửa xe Thành Đạt","","439, Đường Hoàng Tăng Bí, Từ Liêm",21.0832598,105.7722173,"repair","pending","osm"
"xe247_1776744983484_46","quán sửa xe máy 3","","",21.0668492,105.7622957,"repair","pending","osm"
"xe247_1776744983484_47","Trung tâm phụ tùng xe tải","","",21.0526437,105.7356588,"repair","pending","osm"
"xe247_1776744983484_48","Xưởng Thực hành sơn  và sửa chưa Thân xe","","",21.0534433,105.7346357,"repair","pending","osm"
"xe247_1776744983484_49","nhóm 6","","38, Đường Hoàng Tăng Bí, Từ Liêm, Hà Nội",21.0837529,105.7768861,"repair","pending","osm"
"xe247_1776744983484_50","Chưa có tên","","cổ nhuế",21.0714162,105.7770754,"repair","pending","osm"
"xe247_1776744983484_51","Tuấn Sơn Motor","","145, Đường Cổ Nhuế, Bắc Từ Liêm, Hà Nội",21.0621321,105.7806421,"repair","pending","osm"
"xe247_1776744983484_52","Chưa có tên","","193, Đường Cổ Nhuế, Bắc Từ Liêm, Hà Nội",21.0629305,105.7801549,"repair","pending","osm"
"xe247_1776744983484_53","Helios Auto Detailing","+84349800114","Dịch vụ 2, Nguyễn Văn Lộc, Hà Đông, Hà Nội",20.9836509,105.7801703,"repair","pending","osm"
"xe247_1776744983484_54","Việt Nhật Motor","","",21.0133515,105.8006354,"repair","pending","osm"
"xe247_1776744983484_55","Tiệm sửa xe máy","","",21.0311943,105.8887393,"repair","pending","osm"
"xe247_1776744983484_56","Mazda Phạm Văn Đồng","","Phạm Văn Đồng, Q.Bắc Từ Liêm",21.0509254,105.7805264,"repair","pending","osm"
"xe247_1776744983484_57","Trung con Motor","","47, Định Công Thượng",20.9817514,105.8201945,"repair","pending","osm"
"xe247_1776744983484_58","Chưa có tên","","",21.0471181,105.8792421,"repair","pending","osm"
"xe247_1776744983484_59","QC Auto","","",21.0458476,105.876595,"repair","pending","osm"
"xe247_1776744983484_60","Chưa có tên","","",20.9943788,105.8414924,"repair","pending","osm"
"xe247_1776744983484_61","Chưa có tên","","",21.0407422,105.8687756,"repair","pending","osm"
"xe247_1776744983484_62","Chưa có tên","","",21.0273633,105.8947776,"repair","pending","osm"
"xe247_1776744983484_63","Lại Tảo Motor","","",21.0105555,105.8328191,"repair","pending","osm"
"xe247_1776744983484_64","Chưa có tên","","",21.0668516,105.761746,"repair","pending","osm"
"xe247_1776744983484_65","Chưa có tên","","",21.0668297,105.7618291,"repair","pending","osm"
"xe247_1776744983484_66","Chưa có tên","","",21.0649587,105.7626045,"repair","pending","osm"
"xe247_1776744983484_67","sửa xe HonDa","+84452749733","Sông Nhuệ, Bắc Từ Liêm, Phường Đức Thắng",21.0810474,105.7720843,"repair","pending","osm"
"xe247_1776744983484_68","Thành Râu Motor","","205, Phố Trần Quốc Hoàn, Quận Cầu Giấy, Hà Nội",21.0416434,105.7829472,"repair","pending","osm"
